2013-10-24 11:39:30	127.0.0.1	usrC1A6
2013-10-24 11:40:32	127.0.0.1	usrB0D7
2013-10-24 11:42:30	127.0.0.1	usr7E74
2013-10-24 11:48:22	127.0.0.1	usrDD67
2013-10-24 11:51:21	127.0.0.1	usr99D4
2013-10-24 12:01:08	127.0.0.1	usr8DC6
2013-10-24 16:55:15	127.0.0.1	usrD4DB
2013-10-24 16:56:04	127.0.0.1	usr91B5
2013-10-24 17:13:35	127.0.0.1	usr9C71
2013-10-24 17:15:29	127.0.0.1	usr5A07
2013-10-24 17:16:12	127.0.0.1	usr2D5
2013-10-24 17:17:21	127.0.0.1	usrF36
2013-10-24 17:19:53	127.0.0.1	usr6295
2013-10-24 17:38:19	127.0.0.1	usr4087
2013-10-24 17:43:10	127.0.0.1	usrB470
2013-10-24 17:43:35	127.0.0.1	usr1545
2013-10-28 17:29:18	127.0.0.1	usr4D7D
2013-10-28 18:08:42	127.0.0.1	usr610F
2013-10-28 19:11:02	127.0.0.1	usr7435
2013-10-29 14:49:30	127.0.0.1	usrAA87
2013-10-29 17:13:56	127.0.0.1	usrE3C4
2013-10-29 17:16:08	127.0.0.1	usrE617
2013-10-29 17:17:47	127.0.0.1	usr69AA
2013-10-29 17:55:47	127.0.0.1	usr3592
2013-10-29 17:56:26	127.0.0.1	usrCC28
